team,round_of_32_probability,round_of_32_probability_pct,round_of_16_probability,round_of_16_probability_pct,quarter_final_probability,quarter_final_probability_pct,semi_final_probability,semi_final_probability_pct,final_probability,final_probability_pct,champion_probability,champion_probability_pct
Croatia,0.80396,80.40%,0.32075,32.07%,0.14765,14.77%,0.04062,4.06%,0.01151,1.15%,0.00298,0.30%
Austria,0.95412,95.41%,0.46846,46.85%,0.17629,17.63%,0.04682,4.68%,0.01104,1.10%,0.00266,0.27%
Senegal,0.74005,74.00%,0.2739,27.39%,0.07547,7.55%,0.02301,2.30%,0.00648,0.65%,0.00159,0.16%
Ivory Coast,0.98018,98.02%,0.31127,31.13%,0.06875,6.88%,0.01819,1.82%,0.00521,0.52%,0.00117,0.12%
Sweden,0.93615,93.62%,0.21581,21.58%,0.07533,7.53%,0.01899,1.90%,0.00443,0.44%,0.00088,0.09%
Egypt,0.99999,100.00%,0.35439,35.44%,0.11023,11.02%,0.02391,2.39%,0.00504,0.50%,0.00088,0.09%
Australia,0.93824,93.82%,0.2552,25.52%,0.06469,6.47%,0.02009,2.01%,0.00422,0.42%,0.00079,0.08%
Uruguay,0.40121,40.12%,0.17673,17.67%,0.05876,5.88%,0.01641,1.64%,0.00353,0.35%,0.00075,0.07%
Scotland,0.80875,80.88%,0.18154,18.15%,0.05306,5.31%,0.01232,1.23%,0.00222,0.22%,0.00046,0.05%
South Korea,0.93422,93.42%,0.30455,30.45%,0.07165,7.17%,0.01482,1.48%,0.00247,0.25%,0.00042,0.04%
Ghana,0.7588,75.88%,0.19559,19.56%,0.05237,5.24%,0.00966,0.97%,0.00145,0.14%,0.00022,0.02%
Paraguay,0.87683,87.68%,0.18716,18.72%,0.03784,3.78%,0.00868,0.87%,0.0014,0.14%,0.00018,0.02%
Algeria,0.63069,63.07%,0.19689,19.69%,0.04824,4.82%,0.00804,0.80%,0.00125,0.12%,0.00017,0.02%
Ecuador,0.27633,27.63%,0.07367,7.37%,0.01702,1.70%,0.00378,0.38%,0.00082,0.08%,0.00015,0.01%
Iran,0.60497,60.50%,0.1238,12.38%,0.02672,2.67%,0.00473,0.47%,0.0007,0.07%,0.00014,0.01%
Cape Verde,0.68021,68.02%,0.12713,12.71%,0.03196,3.20%,0.00451,0.45%,0.00057,0.06%,9e-05,0.01%
DR Congo,0.60433,60.43%,0.13044,13.04%,0.0348,3.48%,0.00505,0.51%,0.00081,0.08%,6e-05,0.01%
Bosnia & Herzegovina,0.6632,66.32%,0.10406,10.41%,0.01693,1.69%,0.00404,0.40%,0.0005,0.05%,4e-05,0.00%
Czechia,0.28231,28.23%,0.04533,4.53%,0.00877,0.88%,0.0018,0.18%,0.00027,0.03%,4e-05,0.00%
Saudi Arabia,0.32962,32.96%,0.0588,5.88%,0.015,1.50%,0.00216,0.22%,0.0002,0.02%,3e-05,0.00%
Uzbekistan,0.20844,20.84%,0.02989,2.99%,0.00712,0.71%,0.00086,0.09%,8e-05,0.01%,2e-05,0.00%
Iraq,0.05288,5.29%,0.00718,0.72%,0.00124,0.12%,0.00018,0.02%,3e-05,0.00%,1e-05,0.00%
Jordan,0.12139,12.14%,0.02599,2.60%,0.00509,0.51%,0.00059,0.06%,5e-05,0.01%,1e-05,0.00%
South Africa,0.18002,18.00%,0.0359,3.59%,0.00529,0.53%,0.00072,0.07%,4e-05,0.00%,0.0,0.00%
Panama,0.13791,13.79%,0.02544,2.54%,0.00493,0.49%,0.00068,0.07%,0.00011,0.01%,0.0,0.00%
Haiti,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%
Qatar,0.14163,14.16%,0.01487,1.49%,0.00208,0.21%,0.00035,0.03%,4e-05,0.00%,0.0,0.00%
Curaçao,0.05124,5.12%,0.00778,0.78%,0.00077,0.08%,9e-05,0.01%,0.0,0.00%,0.0,0.00%
Tunisia,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%
Türkiye,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.0,0.00%
New Zealand,0.07389,7.39%,0.00954,0.95%,0.00176,0.18%,0.00032,0.03%,2e-05,0.00%,0.0,0.00%
